O16smurf,""
o_mexia,"21. Trotamundos Mexicano. Se pronuncia como J, no como X. Copiloto de @BochitoOficial. OMX ||Snapchat e Instagram: o_mexia"
o_ojozancu,""
o_solorzano78,"Empresario, Comunicologo, RRPP, 15 jul 78"
O_Villasana,"Ex Presidente Municipal de León, Guanajuato."
oaguadarrama18,""
oaguila_r,"Life is an strategy. Lo mío es curiosear. Soy aprendiz de editor en @ZonaFrancaMX."
oah40,""
oalejandri,"Abogado metido en finanzas."
Oamarper,"Fundador y Presidente Grupo Fundidora (No, I’m not a millionaire, YET) Aficionado de @TigresOficial Ambientalista,Ex aspirante a Ingeniero y Viajero Dimensional"
oams009,"De Guadalajara... Apasionado al Fut-bol y a la Música"
oamz292623emh,""
oanaranjo,""
OaraizaR,"Guru de shortcuts en proceso, Motion designer, Animador Digital."
oarestrepo,"........"
Oaxaca3_0,"Revolución 3.0 Oaxaca: Tejiendo ciudadanía a través de la información#Oaxaca"
OaxacaRubrica,"Compartimos información en tiempo real  política, deportes, salud, tecnología, finanzas, opinión, etc."
obadcar,"Abogado, triatleta, vago por naturaleza, sin limites fisicos ni mentales lo mejor se planea en 5 minutos..."
obdugp,"Relaciones Públicas e Interinstitucionales de la Consejería Jurídica del Distrito Federal"
obedc,"Mi negocio es saber"
ObedLopezC,"Trance, Bro ✋"
ObesityDiabetes,"Somos un grupo médico  especializado en control de peso, diabetes y trastornos metabolicos brindando atención de calidad y personalizada"
obeyzaynx,"i'll figure it out. serendipity."
Obregoso_Duarte,"Y me buscaréis y me hallaréis, porque me buscaréis de todo vuestro corazón. Jeremías 29:13 ♥"
obserabsoluto,"Analista político y asesor de campañas e imagen. He trabajado en medios de comunicación. Me gusta el cine, el video, la fotografía, la historia y la lectura"
ObservaPRIBC,"Observatorio del PRI BC. Entérate de las actividades del PRI y sus líderes, analizamos el trabajo de los partidos y los políticos de México. Apoyamos a EPN."
ObservaPRIQRoo,"@ObservaPRIQRoo Información y análisis de las propuestas, proyectos y actividades del #PRI y sus líderes.#NosUneMéxico  Presidente Estatal @GilbardoMP"
ObservatorioPRI,"Información política nacional. Buscamos un partido más abierto, plural y autocrítico. Plataforma de priístas en todo el país. #PorTiMéxico"
ObservLegislati,"En @ITESO tenemos un modelo de evaluación del desempeño del Poder Legislativo alojado en@piapp_iteso. Ya evaluamos al de Jalisco."
OBuffete,"Somos una empresa especialista en la parte juridica,nos dedicamos a resolver asuntos legales de cualquier rama,nuestra prioridad es su tranquilidad."
ocampo_eduardo,"Gerente Jurídico Laboral y de lo Contencioso de Grupo Peñoles, damini factum, dabo tibi ius"
Ocampomaro,"Reportero en Informe 100.1 Radiológico y en Capital Morelos. De Cuernavaca, México."
ocampot,""
OcanaBonilla,""
ocarmeneses,""
ocballesteros,"Ingeniero Forestal  Esp. en Gestión Ambiental Sostenible.  Esp. en Sistemas Integrados de Gestión HSEQ.  Auditor  HSEQ"
OCBARNEY,"Abogado. Comercio Exterior, Arbitraje Comercial, Antidumping, Abogacía, Colegiación, Historia del Derecho."
oceballoss,""
ocespedesr,"..."
ochcarolin,"Why fit in when you were born to stand out?"
ochentavo,""
ocho_tv,"Canal de TV, informativo, de periodismo, investigación, análisis y entretenimiento, que transmite 24 horas contenido de interés general y fundamental"
ochoaalfredo232,""
oclusivasorda,"off"
oconstantinus,"Transparencia, Derecho y políticas públicas. Me gustan los gadgets, cómics y narrativa. RT≠aprobación o respaldo. NRDA tontos con pretensiones. Borro tuits."
Ocovenenonomata,"Srio. de Desarrollo Social del Club Primera Plana, periodista, escritor, autor del Sexto Sol"
ocsiist,""
octaortiz1,""
OctaVargas1,"A veces el veneno, a veces el antídoto."
octavio_abad,"Jesus died for somebody's sins but not mine ..."
octavio_real,""
OctavioAcosta,"Ejerzo mi derecho a la Opinión Pública y no Pública. Proyectista de Sistemas HVAC. Aunque a muchos les cause escozor nuestra Libertad de Expresión.  :)"
OctavioarJuan,"Sólo un habitante más de este planeta que quiere informarse lo más posible y compartir su pensar con mucha gente de su país (México) y de todo el mundo"
OctavioGomezA,"Periodismo, Libertad de Expresión, Comunicación Digital y un poco de Iron Maiden"
octavioislas,"Doctor en Ciencias Sociales. Director de la revista web Razón y Palabra."
octaviollamas,""
OctavioMVargas,"no_description"
OctavioMVargas_,"Abogado, egresado de la UNAM. Secretario Nacional de Asuntos Electorales. #PRIISTA de hueso colorado. (Parodia )"
OctavioRaul23,""
octavo_enrique,"Grata compañía será lo mejor contra los pensamientos aprensivos, pues la indolencia es la madre de todos los vicios."
odairv,""
odarnta,""
Oddimian,""
OddiyanaC,"Consultoría en soluciones CRM para tus Procesos de Venta y control de información en la Nube. Metodologías y Sistemas para el marketing en Redes Sociales."
odebconuee,"Director General de la Comision Nacional para el Uso Eficiente de la Energia"
odettegal,""
