008_George_Bond,"Amante de los autos y la tecnología"
00tolerancia,""
01161953,""
01800Consumidor,""
018estrellaazul,"El optimismo perpetuo multiplica las fuerzas."
01_kty,"Las mejores enseñanzas de la vida suelen venir de los momentos más duros."
02Jose1970,""
02Marlen,"Médico Cirujano"
03Habibi,"Ultroneous."
04Anahiz,"no_description"
04Barrio,"El hombre necesita dificultades porque son necesarias para disfrutar el éxito"
0505luz,"Cuando actúas mal, recibes lo que das; si actúas bien, la vida te premiará tarde o temprano."
05_chango,"La lógica es una incertidumbre cierta entre la verdad o falsedad."
05xadiel,""
06111976,""
06f9b4dc510942c,"Colombiano, Familiar y enamorado de la vida. Agradecido con DIOS por todo lo recibido."
072AvialCDMX,"Ofrecemos asesoría vial los 365 días del año, las 24 hrs. Facebook: http://t.co/6uzZ1K2H3S / Tel: 072 Opción 3"
07_cheche,""
08Hygom,""
0Boahancok,""
0d2622ffde05455,""
0e2a5cd995b542d,""
0marsillo,"no_description"
0r_hay,""
0skarGalo,"viviendo libre, lo más que pueda!!!"
0V4P,"Antioqueño, #Telecom engineer, Mountain biker, #Dota2 gamer, #MTBer, watching #TWD and #GoT...aaaand whatever you want"
1000_Mascaras,"Sarcástico e Hiperactivo Mental. ODIO los Fav's, Trilíngue (Español, Inglés y Pendejadas). Museo Nacional de las Culturas INAH."
100_seguros,"100Seguros es una empresa de mexicana que ofrece la posibilidad de cotizar y emitir seguros en línea || seguros Automotrices"
1070noticias,"Te mantenemos informado las 24 horas sobre los acontecimientos más sobresalientes de Guadalajara."
10_labe,""
10Nallel10,""
10urdanivia,"Pasión: Ciencia del Derecho y de la Política. Vocación: Servicio Público. Principios: Lealtad y Honestidad. Ideología: Federalismo y Democracia social."
1113fco,""
112Ares,""
11Marbel,"soy buena onda y me gusta lo que hago, en casa hago chocolates y recuerdos para toda ocación. Si quieres demostrar tus sentimientos hazlo con chocolate!!!"
121solitario,"amante de las mujeres bellas e inteligentes y guarras que se encuentren por aqui saludos y besos"
1220Toribio,"LEGENDS ARE FOREVER...WINNERS MAKE HISTORY,BUT ALWAYS NEED OF PARTNERS,ANOTHER BIG TEAMS¡"
1234_rusher,"Llegaron De La Nada,Convirtiéndose En Mi Todo.♡ #Caballeros"
